Year,State,TOT_POP,WHT,BLK,AI_ALSK,ASN,NH_PI,POV_AA,UN_EMP,TOT_POP_25,LESS_9,9_12_NO_D,HSC_EQU,SC_NO_D,ASSO,BACH,GRAD
2013,Oregon,3919664,3456419,78740,69686,161218,15947,637505,150400,2704043,4.1,6.1,24.3,26.3,8.4,19.3,11.5
2013,Pennsylvania,12778450,10617297,1478657,43673,403251,8239,1687854,474600,8809510,3.6,7.2,36.4,16.2,7.9,17.5,11.2
2013,Rhode Island,1052784,899360,80050,10028,34959,1783,148275,51556,719956,6.1,8,26.6,18.5,8.3,19.8,12.6
2013,South Carolina,4765862,3256308,1330919,25550,70209,4279,858553,167326,3198816,5,9.3,29.4,21.3,8.9,16.6,9.5
2013,South Dakota,842513,722454,15024,76184,10521,598,114291,16795,550959,3.5,4.9,31.3,22.3,11.4,18.9,7.6
2013,Tennessee,6490795,5132839,1106368,28086,107424,5902,1128618,238952,4370035,5.6,8.8,32.9,21.2,6.7,15.6,9.2
2013,Texas,26479279,21269804,3276758,265158,1163134,34816,4531427,804949,16673656,9.1,9,25.2,22.6,6.5,18.3,9.3
2013,Utah,2899961,2657735,37474,43815,66476,28396,360119,64438,1670449,2.9,5.5,22.9,27.8,9.5,20.9,10.5
2013,Vermont,626044,595762,7380,2312,9406,190,73947,15483,436174,3.2,5.3,30.6,16.9,8.2,21.4,14.3
2013,Virginia,8261689,5856484,1624582,43178,506035,8906,941059,242095,5561224,4.7,6.9,24.8,20.1,7.3,21.1,15.1
2013,Washington,6963410,5648890,277216,131912,553193,48138,963088,244027,4706104,4,5.9,23.3,24.6,9.5,20.9,11.8
2013,West Virginia,1852333,1739712,65229,4280,14106,520,331674,54120,1294025,5.4,10,40.2,18.6,6.8,11.3,7.6
2013,Wisconsin,5736673,5048291,376217,63368,147652,2775,753709,207308,3879291,3.1,6,32,21.1,10,18.4,9.4
2013,Wyoming,582341,541339,8613,15431,5446,548,62118,14477,383914,1.5,5,28.4,27.8,10.7,17.8,8.8
2014,Alabama,4840037,3372411,1290677,33075,64014,4915,905682,146531,3256766,5.1,10.2,31.6,21.8,7.9,14.7,8.8
2014,Alaska,736759,492164,27046,111385,44783,9213,81622,25119,465149,2.7,4.4,28.4,28.3,8.2,18.4,9.6
2014,Arizona,6706435,5617958,314624,358979,219440,17516,1195889,209331,4436226,6.4,7.5,24.3,25.7,8.5,17.3,10.3
